name,slug,description,price,stock,category_id,brand_id
TCL 108 cm (43 inches) 4K Ultra HD Certified Android Smart LED TV 43P615 (Black),tcl-108-cm-43-inches-4k-ultra-hd-certified-android-smart-led-tv-43p615-black,"Resolution: 4K Ultra HD (3860 x 2160) | Refresh Rate: 60 Hertz|Connectivity : 3 HDMI ports to connect set top box, Blue Ray players | 1 USB ports to connect hard drives and other USB devices|Sound: 24 Watts Output | Dolby Audio Power Speakers | Surround Virtualizer|Smart TV Features :Built-In Wifi | Prime video |4K Android TV+HDR 10 |AI-Google Assistant | Certified Android P| Screen Cast+T-cast |2GB RAM - 16GB ROM |5000+ Apps YouTube, Netflix|Display : A+ Grade Panel | UHD | HDR 10 | Slim Design|Warranty Information: 2 year comprehensive warranty provided by the manufacturer from date of purchase|Installation: For Installation, Wall Mounting, Demo Of This Product Once Delivered, Directly Contact Brand Support (Visit Brand website for Toll free numebrs) and Provide Product's Model Name And Seller's Details Mentioned On Your Invoice. The Service Center Will Allot You A Convenient Slot For The Service",7497000,36,3,4
"REDTECH USB-C to Lightning Cable 3.3FT, [Apple MFi Certified] Lightning to Type C Fast Charging Cord Compatible with iPhone 14/13/13 pro/Max/12/11/X/XS/XR/8, Supports Power Delivery - White",redtech-usb-c-to-lightning-cable-33ft-apple-mfi-certified-lightning-to-type-c-fast-charging-cord-compatible-with-iphone-141313-promax1211xxsxr8-supports-power-delivery-white,"💎[The Fastest Charge] - This iPhone USB C cable supports PD 3.0 fast charging, up to 20W with USB-C Power Delivery adapters such as 18W, 20W, 29W, 30W, 61W, or 87W. Charge your iPhone from 0% to 50% in just 25 mins, and data transfer speeds up to 480Mbps (1200 songs synced per minute)|💎[Amazing Durability] - With top-rated material and coated with premium TPE, Syncwire Apple USB C cable has exceptional durability to be bent at 90 degrees for 15000+ times and the connector is capable of holding up to 20kg of weight without falling off.|💎[Perfect Compatibility] - Syncwire Type C to lightning cable supports PD Fast Charge 3A (max) for iPhone 14, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 13 mini, iPhone 13 pro max, iPhone 13, iPhone 12 Pro, iPhone 12 Pro max, iPhone 11, iPhone 11 Pro, iPhone 11 Pro Max, iPhone 8, iPhone 8 Plus, iPhone X, iPhone XS, iPhone XR, iPhone XS Max, iPad 8, iPad Pro (10.5-inch), iPad Pro (12.9-inch) 1st generation, iPad Pro (12.9-inch) 2nd generation.|Apple MFi Certified - Lightning cable ensure 100% compatibility with iPhone 14, 13, 13 Pro, 13 Pro Max, 13 Mini, 12, 12 Mini, 12 Pro, 12 Pro Max, SE 2020, iPhone 11, 11 Pro, 11 Pro Max, XR , Xs , Xs Max, X, 8, 8 plus, and iPad|20W Fast Charging Cable: USB C to lightning cable supports safe high-speed charging and fast data transfer,working better and quick charge your devices.(Note:You need to use 20W or above USB-C power adapter to achieve power delivery fast charge.)",74700,99,4,5
OnePlus 163.8 cm (65 inches) U Series 4K LED Smart Android TV 65U1S (Black),oneplus-1638-cm-65-inches-u-series-4k-led-smart-android-tv-65u1s-black,"Resolution: 4K Ultra HD (3840x2160) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: 3 HDMI ports (HDMI 2.1 Compatible, HDMI 1 supports eARC) to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices|Sound : 30 Watts Output | Co-tuned with Dynaudio | Dolby Audio|Smart TV Features : Android TV 10 ｜Hands-free voice control with Speak Now | Google Assistant | OnePlus Connect 2.0 | OxygenPlay 2.0 | Data Saver Plus | Kids Mode | Game Mode, Dimension (Without Stand) - 1.448m*7.88cm*83.8cm|Display : 1 billion colors | Gamma Engine | HDR10+ certified, HDR10, HLG | MEMC | Bezel-less design | 95.3% Screen to Body Ratio|Warranty Information: 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase|Installation: This TV comes with a wall mount inside the box. Installation/Wall mounting/demo will be arranged by Amazon Home Services. For any other information, please contact Amazon customer support",18599700,84,3,5
AmazonBasics 108 cm (43 inches) 4K Ultra HD Smart LED Fire TV AB43U20PS (Black),amazonbasics-108-cm-43-inches-4k-ultra-hd-smart-led-fire-tv-ab43u20ps-black,"Resolution: 4K Ultra HD (3840 x 2160) | Refresh Rate: 60 hertz | 178° wide viewing angle|Connectivity: 3 HDMI 2.0 ports to connect set top box, Blu Ray players, gaming console | 1 USB 3.0 and 1 USB 2.0 ports to connect hard drives and other USB devices | IR Port to control connected devices like Soundbars, Receivers and Set top boxes|Sound output: Inbuilt 20 Watts Powerful Speakers | Dolby Atmos|Smart TV Features: With built-in Fire TV | Built in Alexa and Alexa voice controls | DTH Set-Top Box Integration to switch between DTH TV Channels and OTT apps from home screen | Supported Apps: Prime Video | Netflix | Disney + Hotstar | YouTube | 5000+ apps from Fire OS Store | Display Mirroring | 1.95GHz Quad core processor | 1.5GB RAM/DDR | 8GB Flash Memory|Display: A+ Grade LED panel | Dolby vision | HDR 10 + HLG | Amlogic 9th Generation Imaging Engine | Ultra bright screen | Advance picture processing | Anti-aliasing | Dynamic contrast | Dynamic backlight|Warranty Information: 1 Year Comprehensive Warranty on product and 1 Year additional warranty on panel for malfunction arising from manufacturing defects. 1-click Warranty support, on Amazon for malfunction arising from manufacturing defects. Get Brand Authorized service, genuine parts and a paperless warranty claim experience through your Amazon account. Hassle free process with complete visibility to every step of your warranty claim For claiming warranty, A) Go to Your orders section, B) Select the product, C) Click on Get product support and D) Schedule an appointment.|Installation/Wall mounting/demo will be arranged by Amazon Home Services. For warranty and device related issues, go to Your Orders on Amazon.in or Amazon shopping app > Locate your TV order > Select ‘Get Product Support’ and schedule a service. For any other information, please contact Amazon customer support",7349700,84,3,3
Kodak 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32HDX7XPROBL (Black),kodak-80-cm-32-inches-hd-ready-certified-android-smart-led-tv-32hdx7xprobl-black,"Resolution : HD Ready (1366x768) resolution | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: 3 HDMI ports to connect set top box, Blu-ray speakers or a gaming console | 2 USB ports to connect hard drives or other USB devices|Sound: 40 Watts Output | Powerful Speakers with Crystal clear Audio|Smart TV Features : Google Voice Assistance | Android 9.0 Pie | Smart Remote | Bezel-Less Design | Supported Applications : Sony Liv, Disney+Hotstar, Zee5, Youtube and more | Display Mirroring for compatible devices|Display : Durable A+ Grade DLED panel | Ultra bright screen for flawless picture quality even in bright rooms|Warranty Information: 1 Year warranty provided by Kodak TV from date of purchase|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description",3149700,40,1,5
"Synqe Type C to Type C Short Fast Charging 60W Cable Compatible with Samsung Galaxy Z Fold3 5G, Z Flip3 5G, S22 5G, S22 Ultra, S21, S20, S20FE, A52, A73, A53 (0.25M, Black)",synqe-type-c-to-type-c-short-fast-charging-60w-cable-compatible-with-samsung-galaxy-z-fold3-5g-z-flip3-5g-s22-5g-s22-ultra-s21-s20-s20fe-a52-a73-a53-025m-black,"【NOTE before purchase】:This is a USB-C to USB-C cable, which means it has the same USB C plug on both ends, please be aware that this is not a USB-C to USB-A cable. Besides, you may need a USB C wall charger to charge your device.|【NYLON BRAIDED, SMALL SIZE】: With a tested 20000+ bend lifespan, Synqe USB C charging cable with heavy duty braided and strong metal connections is far more durable. Short size makes it comfortable to use with Power Banks and Android Auto.|【3A/60W Rapid Charging】：Built-in smart chip, which makes this Type C to Type C PD cable strong enough to support max 3A current 60W power throughput, as well as support fast charging for more phone and power banks likeSamsung Galaxy Note 10 S20 Ultra S21,Realme Power Bank and more Type C devices. You need a USB C wall charger / Power Bank to charge your device and we recommend using the original wall charger.|【60W High Speed Charging】: Output power up to 20V 3A, which is ensured by high-speed safe charging, and the USB 2.0 supports data transfer speed can reach 40~60MB/S (480Mbps). NOTE: This product DO NOT support video output and monitor connection.|【12-months warranty】: 12 months warranty and friendly customer services, ensures the long-time enjoyment of your purchase. If you meet any question or problem, please don't hesitate to connect with us.",104700,80,1,1
Airtel DigitalTV HD Setup Box Remote,airtel-digitaltv-hd-setup-box-remote,"Note : please match the image with your existing remote before placing the order|Remote must be Exactly Same (Function to Function) as per your Old Remote (PLEASE MATCH PROPERLY BEFORE ORDERING)|Send Old Remote Picture at +91-9016382240 (WhatsApp), & Ask for Link to Order Compatible Remote|Exactly Same Remote will Only Work, NO BACKLIGHT IN REMOTE DISPLAY|Compatible with Airtel DTH Set Top Box Remote (Pairing Required to Sync TV Functions)",59100,67,1,5
Airtel Digital TV HD Set Top Box with FTA Pack | Unlimited Entertainment + Recording Feature + Free Standard Installation (6 Months Pack),airtel-digital-tv-hd-set-top-box-with-fta-pack-unlimited-entertainment-recording-feature-free-standard-installation-6-months-pack,"Airtel HD Set Top Box brings theatre-like experience to your home with HD Premium Quality Video (1080i resolution) and Dolby digital plus 5.1 surround sound|Airtel D2H allows you to pause, record and play live TV so that you never miss your favourites as you can watch them later as per your convenience|Customise one of the Cheapest DTH plans with the freedom to choose from 550+ SD & HD channels|Enjoy free delivery and hassle-free installation of your DTH Set Top Box. Any other accessory which is not a part of the standard installation will be charged separately|Included are only Basic Free to Air Channels, you can add other channels by subscribing to them and paying an additional respective amount.",389700,90,5,1
"ESR USB C to Lightning Cable, 10 ft (3 m), MFi-Certified, Braided Nylon Power Delivery Fast Charging for iPhone 14/14 Plus/14 Pro/14 Pro Max, iPhone 13/12/11/X/8 Series, Use with Type-C Chargers, Black",esr-usb-c-to-lightning-cable-10-ft-3-m-mfi-certified-braided-nylon-power-delivery-fast-charging-for-iphone-1414-plus14-pro14-pro-max-iphone-131211x8-series-use-with-type-c-chargers-black,"MFi Certified: this USB-C to Lightning cable is certified MFM (Made for iPhone) by Apple to ensure safe, reliable, and fast charging and syncing|PD Fast Charging: charge your iPhone 13 up to 50% in 30 minutes when used with USB-C PD charger; fast charging compatible with iPhone 14/14 Pro/14 Pro Max/14 Plus, iPhone 13/12/11/X/8 series, iPhone SE (2020), iPad 8/Pro 12.9"" (1st and 2nd Gen)/Pro 10.5""|Stable File Transfer: connect your Lightning-enabled iPhone, iPad, or iPod to your USB-C ready Mac, iMac, or iPad Pro and transfer files rat blisteringly fast speeds without worrying about the dreaded “Accessory may not be supported” alert|Built to Last: the durable braided nylon casing ensures fewer tangles and more tensile strength than Apple’s official cables; aluminum cased plug heads ensure your cable won’t get damaged when plugging in and out|Compatibility: this USB-C to Lighting iPhone cable supports fast charging for iPhone 14/13/12/11/X/8/7/6 series, iPhone SE 3/2, iPad Pro 12.9 (1st and 2nd Gen), iPad 8th Gen, iPad Pro 10.5""; 18W or above USB-C PD adapter required",455700,83,3,2
MI 138.8 cm (55 inches) 5X Series 4K Ultra HD LED Smart Android TV L55M6-ES (Grey),mi-1388-cm-55-inches-5x-series-4k-ultra-hd-led-smart-android-tv-l55m6-es-grey,"Note : The brands, Mi and Xiaomi, are part of the same multinational conglomerate|Resolution : 4K Ultra HD (3840 x 2160) Resolution | Refresh Rate : 60 Hertz|Connectivity: Dual Band Wi-Fi | 3 HDMI ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ALLM | eARC | Bluetooth 5.0 | Optical | Ethernet|Sound: 40 Watts Output | Dolby Atmos | DTS-HD|Smart TV Features : Android TV 10 | PatchWall 4 with IMDb integration | Kids Mode with Parental Lock | 300+ Free Live Channels | Universal search | Language Universe (16+ Languages) | India's Top 10 | Miracast | Supported Apps: Prime Video | Netflix | Disney + Hotstar | YouTube | Apple TV | 5000+ apps from Play Store | Quad core A55 CPU processor | Chromecast built-in | Ok Google | Far-field Mics | Auto Low Latency Mode | 2GB RAM + 16GB Storage|Display: 4K HDR | Metal Bezel-less Design | Dolby Vision | HDR10+ | HLG | Reality Flow MEMC | Vivid Picture Engine 2 | DCI-P3 94% Colour Gam|Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase",14099700,15,5,1
"Storite USB Extension Cable USB 3.0 Male to Female Extension Cable High Speed 5GBps Extension Cable Data Transfer for Keyboard, Mouse, Flash Drive, Hard Drive, Printer and More- 1.5M - Blue",storite-usb-extension-cable-usb-30-male-to-female-extension-cable-high-speed-5gbps-extension-cable-data-transfer-for-keyboard-mouse-flash-drive-hard-drive-printer-and-more-15m-blue,"Length: 150cm-1.5M. Higher transfer rates up to 5 Gbps|Full-duplex data transmission support for new transfer types in the future|Increased device current draw to better provide power for High power demand devices|Features shielding that provides protection against noise from electromagnetic and radio-frequency signals, keeping your signal clear with less loss of bandwidth for higher performance|USB 3.0 uses less power, but has increased power output - up to 4.8 Gbit/s. Compared with the USB 2.0 transmission speed, USB 3.0 is 10 times faster|PS: This cable does not work with camera. Please contact us before purchasing.",89700,29,1,5
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",fire-boltt-ninja-call-pro-plus-183-smart-watch-with-bluetooth-calling-ai-voice-assistance-100-sports-modes-ip67-rating-240280-pixel-high-resolution,"Fire-Boltt is India' No 1 Wearable Watch Brand Q122 by IDC Worldwide quarterly wearable device tracker Q122.【Bluetooth Calling Watch】- Fire-Boltt Ninja Call Pro Plus Smartwatch enables you to make and receive calls directly from your watch via the built-in speaker and microphone. This smartwatch features a dial pad, option to access recent calls & sync your phone’s contacts.|【1.83"" HD Display Smart Watch】- The 46.48mm (1.83-inch) HD display makes the display clear and true-to-life, with vivid colours ensuring smooth readability and keeping the watch as exquisite to look at as when you first lay your eyes on it.|【AI Voice Assistant】- With built-in Voice assistant, you can simply speak to the smartwatch & get things done on your command|【100 Sport Modes】- Track every trek you take or every football, cricket kabaddi match you play. With over 100 sports modes Fire-Boltt Ninja Call Pro Plus has you covered.|【Fire-Boltt Health Suite】- With advanced technology and HRS chipset the smartwatch can give out near to accurate SpO2, Heart Rate readings. This mini health device tracks your sleep to ensure glowing and fresh look each day",539700,69,5,1
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",fire-boltt-phoenix-smart-watch-with-bluetooth-calling-13120-sports-modes-240240-px-high-res-with-spo2-heart-rate-monitoring-ip67-rating,"Fire-Boltt is India' No 1 Wearable Watch Brand Q122 by IDC Worldwide quarterly wearable device tracker Q122.【Bluetooth Calling Watch】- Fire-Boltt Phoenix enables you to make and receive calls directly from your watch via the built-in speaker and microphone. This smartwatch features a dial pad, option to access recent calls & sync your phone’s contacts.;【High Resolution Display】- Comes with a 1.3"" TFT Color Full Touch Screen and a 240*240 Pixel High Resolution this watch is covered to flaunt the sleek and stylish look always.|【120+ Sports Modes】- Track each activity effectively with this smartwatch & activity tracker. Track your calories, steps and much more while you are on your fitness journey. This fitness tracker has it all;【In Built Mic & Speaker】- Get HD calling experience with this power-packed watch. Enhance the look of your wrist with attractive colors and sleek finish|【Smart Health】- With the latest HRS3300 technology track your heart rate anytime of the day or even while you perform some activity. The optical sensors assure results so accurate. Monitor your blood oxygen levels to stay fit and healthy;【Smartphone Notifications】- Get all your mobile phone notifications on this 1.3"" Round Display Full touch smartwatch and never be late for a meeting, party or date.|【Gaming On Wrist】- Enjoy playing games on the wrist itself as you are on the go. 【Breathe Function】- Ensure your breathing exercise is fit and healthy with the breathing function.; 【Multiple Watch Faces】- Over 100 Cloud based watch faces to choose from and match your outfit and look each day everyday|Included Components: 1 Smartwatch, 1 Manual, 1 Magnetic Charger, 1 Warranty Card; Band Color: Black; Band Material Type: Silicone; Color Name: Black; Human Interface Input: Buttons touch Screen; Case Material Type: Stainless Steel; Clasp Type: Tang Buckle; Compatible Devices: Smartphone tablet iphone android, **Disclaimer** The charging USB needs to be connected to a 4.7V to 5V adapter only for best battery backup",599400,12,2,1
"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes,HR,SpO2, IP68(Active Black)",boat-wave-call-smart-watch-smart-talk-with-advanced-dedicated-bluetooth-calling-chip-169-hd-display-with-550-nits-70-color-gamut-150-watch-faces-multi-sport-modeshrspo2-ip68active-black,"Bluetooth Calling- Wave Call comes with a premium built-in speaker and bluetooth calling via which you can stay connected to your friends, family, and colleagues|Dial Pad- Its dial pad is super responsive and convenient. You can also save upto 10 contacts in this smart watch|Screen Size- Wave Call comes with a 1.69” HD Display that features a bold, bright, and highly responsive 2.5D curved touch interface|Resolution- With 550 nits of brightness get sharper color resolution that brightens your virtual world exponentially.|Design- The ultra slim and lightweight design of the watch is ideal to keep you surfing your wave all day!|Watch Faces- Wave Call comes with 150+ Cloud watchfaces for you to pick from, complementing your every mood and outfit|HR, SpO2 & Breathing- Monitor your heart rate and blood oxygen levels on-the-go with the heart rate and SpO2 monitor. It also comes with Guided Breathing to help you relax and embrace mindfulness.",599700,72,5,2
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black,mi-power-bank-3i-20000mah-lithium-polymer-18w-fast-power-delivery-charging-input-type-c-micro-usb-triple-output-sandstone-black,"20000mAh Lithium Polymer battery|18W Fast Charging|Triple port output|Dual input port (Micro-USB/USB-C, Charging Time : 6.9 hours|Power Delivery|Advanced 12 Layer chip protection|Smart power management|6 months domestic warranty",614700,62,4,3
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",redmi-a1-light-blue-2gb-ram-32gb-storage-segment-best-ai-dual-cam-5000mah-battery-leather-texture-design-android-12,"Display: 16.56cm HD+ Scratch resistant display|Processor: MediaTek Helio A22 processor; up to 2.0GHz|Camera: 8MP Dual camera | 5MP Front camera|Memory, Storage & SIM: 2GB LPDDR4x RAM | 32GB storage expandable up to 512GB with dedicated SD card slot | Dual SIM (nano+nano) dual standby (4G+4G)|Battery: 5000 mAh large battery with 10W in-box charger",1949700,100,1,1
"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",oneplus-nord-2t-5g-jade-fog-8gb-ram-128gb-storage,"Camera: 50MP Main Camera with Sony IMX766 and OIS, 8MP Ultrawide Camera with 120 degree FOV and 2MP mono lens with Dual LED Flash; 32MP Front (Selfie) Camera with Sony IMX615|Camera Features: AI Scene Enhancement, AI Highlight Video, Slow-motion captures, Dual-view Video, HDR, Nightscape, Portrait mode, Pano, Retouching and exciting filters|Display: 6.43 Inches; 90 Hz AMOLED Display with Corning Gorilla Glass 5; Resolution: 2400 X 1080 pixels; HDR 10+ Certified|Display Features: Ambient Display, AI colour enhancement and Dark mode|Operating System: OxygenOS based on Android 12. Processor: Mediatek Dimensity 1300|Battery & Charging: 4500 mAh with 80W SuperVOOC. In-Display Fingerprint Sensor|Alexa Hands-Free capable: Download the Alexa app to use Alexa hands-free. Play music, make calls, hear news, open apps, navigate, and more, all using just your voice, while on-the-go|Form Factor: Smartphone; Cellular Technology: 5g, 4g Lte",8699700,24,4,1
"OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage)",oneplus-nord-2t-5g-gray-shadow-8gb-ram-128gb-storage,"Camera: 50MP Main Camera with Sony IMX766 and OIS, 8MP Ultrawide Camera with 120 degree FOV and 2MP mono lens with Dual LED Flash; 32MP Front (Selfie) Camera with Sony IMX615|Camera Features: AI Scene Enhancement, AI Highlight Video, Slow-motion captures, Dual-view Video, HDR, Nightscape, Portrait mode, Pano, Retouching and exciting filters.|Display: 6.43 Inches; 90 Hz AMOLED Display with Corning Gorilla Glass 5; Resolution: 2400 X 1080 pixels; HDR 10+ Certified|Display Features: Ambient Display, AI colour enhancement and Dark mode|Operating System: OxygenOS based on Android 12|Processor: Mediatek Dimensity 1300|Battery & Charging: 4500 mAh with 80W SuperVOOC",8699700,41,5,3
"Redmi A1 (Black, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",redmi-a1-black-2gb-ram-32gb-storage-segment-best-ai-dual-cam-5000mah-battery-leather-texture-design-android-12,"Display: 16.56cm HD+ Scratch resistant display|Processor: MediaTek Helio A22 processor; up to 2.0GHz|Camera: 8MP Dual camera | 5MP Front camera|Memory, Storage & SIM: 2GB LPDDR4x RAM | 32GB storage expandable up to 512GB with dedicated SD card slot | Dual SIM (nano+nano) dual standby (4G+4G)|Battery: 5000 mAh large battery with 10W in-box charger",1949700,100,4,2
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",redmi-a1-light-green-2gb-ram-32gb-rom-segment-best-ai-dual-cam-5000mah-battery-leather-texture-design-android-12,"Display: 16.56cm HD+ Scratch resistant display|Processor: MediaTek Helio A22 processor; up to 2.0GHz|Camera: 8MP Dual camera | 5MP Front camera|Memory, Storage & SIM: 2GB LPDDR4x RAM | 32GB storage expandable up to 512GB with dedicated SD card slot | Dual SIM (nano+nano) dual standby (4G+4G)|Battery: 5000 mAh large battery with 10W in-box charger",1949700,65,4,5
"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",sandisk-ultra-microsdxc-uhs-i-card-64gb-140mbs-r-10-y-warranty-for-smartphones,Ideal storage for Android smartphones and tablets|Up to 140MB/s transfer speeds to move up to 1000 photos per minute|Load apps faster with A1-rated performance|Class 10 for Full HD video recording and playback|Compatible with SanDisk MobileMate USB 3.0 microSD card reader,170700,70,2,3
"Noise Pulse Go Buzz Smart Watch Bluetooth Calling with 1.69"" Display, 550 NITS, 150+ Cloud Watch Face, SPo2, Heart Rate Tracking, 100 Sports Mode with Auto Detection, Longer Battery (Jet Black)",noise-pulse-go-buzz-smart-watch-bluetooth-calling-with-169-display-550-nits-150-cloud-watch-face-spo2-heart-rate-tracking-100-sports-mode-with-auto-detection-longer-battery-jet-black,"Sharp and bright display: The 1.69’’ TFT display with 240*280px and 550 nits brightness ensures visual treat every time you look at the watch.|Tru Sync: Experience fast and stable connectivity with low power consumption.|BT calling: Stay in touch with your friends - right from your wrist.|Utility features: Use the utility features at your disposal and become more productive - get hand wash reminders, idle alert and drink water reminder, weather forecast, set alarms and more.|Noise Health Suite: Lead a better life with the battery of wellness features available in Noise Health Suite.|150+ cloud-based & customised watch faces: Style your watch the way you like to – choose from 150 cloud-based & customised watch faces.|100 sports modes with auto sports detection: Stay active and track all that you are doing with auto sports detection mode.",569400,79,2,4
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio | Charcoal",nokia-105-single-sim-keypad-mobile-phone-with-wireless-fm-radio-charcoal,"All-new redesigned Nokia mobile which is familiar and easy to use|Island style keypad phone with white key lettering|High quality 1.77” screen|Pre-loaded games including the classic keypad mobile phone game - Snake|Enjoy all-new wireless FM radio|Save 2,000 contacts and up to 500 SMS on your Nokia 105 mobile phone",389700,99,3,4
"boAt Wave Lite Smartwatch with 1.69"" HD Display, Sleek Metal Body, HR & SpO2 Level Monitor, 140+ Watch Faces, Activity Tracker, Multiple Sports Modes, IP68 & 7 Days Battery Life(Active Black)",boat-wave-lite-smartwatch-with-169-hd-display-sleek-metal-body-hr-spo2-level-monitor-140-watch-faces-activity-tracker-multiple-sports-modes-ip68-7-days-battery-lifeactive-black,"Screen Size: The 1.69 inch HD full touch display with 500 nits of brightness will bring every detail to life!|Resolution: Get sharper color resolution that brightens your virtual world exponentially.|Slim Design: The ultra slim and lightweight design of the watch is ideal to keep you surfing your wave all day!|Sports Modes: Track your daily activity: calories burnt & steps taken. Choose from multiple sports modes which include Walking, Running, Cycling, Climbing, Yoga, Basketball, Football & many more|Google Fit & Apple Health: The watch supports Google and Apple Fit to seamlessly monitor your health.|IP Rating: Sweat freely while you work out with IP68 dust, sweat and splash resistance.|Watch Faces- Customize your style with 140+ based watch faces.",449700,11,2,2
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",jbl-c100si-wired-in-ear-headphones-with-mic-jbl-pure-bass-sound-one-button-multi-function-remote-angled-buds-for-comfort-fit-black,"JBL Signature Sound|Lightweight and Comfortable : The 3 sizes of ear tips (S,M,L) that are included allow you to choose a size that gives you the most comfortable listening experience even for longer listening periods|JBL Signature Sound. Frequency range:20-20kHz,Driver sensitivity:100±3dBSPL, 1mW,Maximum SPL:5mW|Extra Deep Bass. Troubleshooting steps : Kindly ensure 3.5mm port on Host device is clean and dust free and 3.5mm jack of the earphone is adequately inserted inside the input device port|Noise Cancelling Microphone|One-Button Universal Remote with Mic|Quick Launch Access to Google Assistant / Siri",179700,23,5,1
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 | 5000 mAh Battery",samsung-galaxy-m04-dark-blue-4gb-ram-64gb-storage-upto-8gb-ram-with-ram-plus-mediatek-helio-p35-5000-mah-battery,"Powerful MediaTek Helio P35 Octa Core 2.3GHz with Android 12,One UI Core 4.1|13MP+2MP Dual camera setup- True 13MP (F2.2) main camera + 2MP (F2.4) | 5MP (F2.2) front came|16.55 centimeters (6.5-inch) LCD, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M color|5000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",2849700,65,3,4
"PTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Enhanced Bass, 10mm Drivers, Clear Calls, Snug-Fit, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Black)",ptron-tangentbeat-in-ear-bluetooth-50-wireless-headphones-with-mic-enhanced-bass-10mm-drivers-clear-calls-snug-fit-fast-charging-magnetic-buds-voice-assistant-ipx4-wireless-neckband-black,Ergonomic Magnetic Earbuds; Secure-fit; Sweat & Dust-proof; Passive Noise Cancellation; Universal Bluetooth Earphones; 120mAh Li-Polymer Battery; USB Charging Cable included|In-Ear Wireless Bluetooth Neckband with up to 10 Hours Playback-time & Mic.Foldable/Collapsible :Yes|In-line Remote Control Allow Calls & Music Control for a Hands-free Experience|Super Flexible Band; Stereo Audio with Bass; Bluetooth 5.0; 10m Wireless Range; Fast Charging; 1.5 Hour Charge Time; 100 Hours Standby-time|Google Assistant/Siri Voice Assistance Support|1 year manufacturer warranty from the date of purchase|10mm Dynamic Driver Ensures Exquisite Sound Details with Bass,179700,89,1,2
"Redmi 10A (Charcoal Black, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster",redmi-10a-charcoal-black-4gb-ram-64gb-storage-2-ghz-octa-core-helio-g25-5000-mah-battery-finger-print-sensor-upto-5gb-ram-with-ram-booster,"Camera: 13MP Rear Camera | 5MP Front Camera|Display: HD+(1600x700) IPS LCD display; 15.58 centimeters (6.53 inch); 20:9 aspect ratio|Processor: MediaTek Helio G25 Octa-core processor; Up to 2.0 GHz clock speed|Battery: 5000 mAh large battery with 10W fast charger in-box and Micro USB connectivity|Memory, Storage & SIM:4GB RAM | 64GB storage expandable upto 512GB with dedicated SD card slot | Dual SIM (nano+nano) dual standby(4G+4G)",2699700,77,1,1
